,,,matthews_correlation_coefficient,matthews_correlation_coefficient
,,,mean,std
evaluation_mode,use_scale_free_distribution,features_names,,
test,False,DeepWalk CBOW,0.8334499682375414,0.014322573297510594
test,False,DeepWalk SkipGram,0.8966653225394234,0.006793903629729999
test,False,First-order LINE,0.9110753088259814,0.003534247030259091
test,False,Second-order LINE,0.9152009328672012,0.004482658085922781
test,False,Walklets CBOW,0.9214728116759602,0.009204311463908413
test,False,Walklets SkipGram,0.8870403138265038,0.012773244479927687
test,True,DeepWalk CBOW,0.4116482254429846,0.018963686096165777
test,True,DeepWalk SkipGram,0.17120521896299112,0.050984744788570006
test,True,First-order LINE,-0.056651081840118335,0.008032572412005485
test,True,Second-order LINE,0.010861630159605699,0.0239421412860141
test,True,Walklets CBOW,0.16773733794720985,0.023916964198581508
test,True,Walklets SkipGram,0.22853269607081317,0.03376811904077886
train,False,DeepWalk CBOW,0.9993528899685262,0.00023292174575584572
train,False,DeepWalk SkipGram,0.9961950759553065,0.0013957740646473244
train,False,First-order LINE,0.9883445213886818,0.0006672234794743494
train,False,Second-order LINE,0.9839218438550141,0.0010199325405267667
train,False,Walklets CBOW,0.9964201037282543,0.0014998820828297376
train,False,Walklets SkipGram,0.9962467046729444,0.0011401725666199028
train,True,DeepWalk CBOW,0.6357134883397118,0.023428657416626492
train,True,DeepWalk SkipGram,0.36123667065990406,0.04791765643402659
train,True,First-order LINE,0.1092586539366593,0.006450407611419609
train,True,Second-order LINE,0.16047438851501672,0.024969998790151472
train,True,Walklets CBOW,0.31673756901933836,0.022082259344344973
train,True,Walklets SkipGram,0.41197327862396127,0.032111218810590925
